"","21_1","21_2","21_3","22_1","22_2","22_3","23_1","23_2","23_3","24_1","24_2","24_3","25_1","25_2","25_3","26_1","26_2","26_3","27_1","27_2","27_3","28_1","28_2","28_3","29_1","29_2","29_3","30_1","30_2","30_3","31_1","31_2","31_3","32_1","32_2","32_3","33_1","33_2","33_3","34_1","34_2","34_3","35_1","35_2","35_3","36_1","36_2","36_3"
"Q9Y3A3",-0.645853807524485,-0.712515783639891,-0.87461581492304,-1.5059177135254,-1.57251092249563,-1.53181600619486,-1.48694864712526,-2.23039562126489,-1.71526417587016,-1.44469470802439,NA,NA,NA,NA,-1.60087361754017,NA,-1.46254736636018,NA,-1.53277068720106,-1.7540773340468,-1.66112447980752,-1.46244049545135,-1.81534958591457,-1.37234265237394,NA,-0.843499749928561,-0.640538816302069,NA,NA,NA,-0.975816025241475,-0.999092823420241,-1.03398645011528,-0.659912241250836,-0.872874589014586,-0.867083481633951,-1.1424297581582,-0.91640025331338,-0.968233624343398,-1.37864341942494,-1.3651468145149,-1.47134828520379,-1.93608314587869,-1.43066783516198,-1.80747868855449,NA,-1.13568488009572,-0.903491862678081
"Q9Y3A4",-2.54274945365184,-1.99222749110941,-2.56540804277891,-2.46984767184507,-2.23226686536049,-2.22896494950535,-2.09462226799262,-1.40411384499201,-1.3127531991537,-1.98293981296969,-1.22701759762295,-1.4792032957643,-1.60176916400058,-1.72377701574124,-1.65418084914198,-1.31709520390959,-1.26915647270692,-1.16389360652662,-2.21083053534621,-1.75213138742089,-1.82370293624232,-1.62472050842572,-1.40240213839941,-1.43694033217856,-2.01576721278886,-1.69364082207249,-1.74516165102786,-1.85708077980848,-1.834398761221,-1.76975770132645,-1.85609985839758,-1.5589252940884,-1.71457271023303,-2.19486399786115,-1.64417008826379,-1.76686255245831,-2.81652316696548,-2.41430507712101,-2.53314594671052,-1.80275429686222,-1.56846986774058,-1.63818812367415,-1.80163334934915,-1.15346722014721,-1.74910704590562,-1.99638077341787,-2.00827687257945,-1.9974358185858
"Q9Y3A5",1.12123382378905,1.12340835918902,0.95369397977346,0.520392790353013,0.437905568592165,0.426681297403712,0.946055328868808,1.00122608248225,0.869755739640919,1.05837596171516,1.10433378862079,1.01690810808857,1.16873036194983,1.05607398925127,1.07800728199135,0.958707006326147,0.83071568540232,0.964202342030207,0.251354099446258,0.359443500206373,0.319116514279069,0.940432757382132,0.966648933925043,0.903203956673858,1.31824329183863,1.26527932405148,1.17242978751033,0.872254087183729,0.835535181029496,0.7329041112914,0.997353183066346,0.997590357351114,0.994741691804056,1.30775585777005,1.27838997904176,1.23363204131085,0.523031613835603,0.680484388066207,0.628662958267299,1.12685952748898,1.03878169737972,1.04529480265166,0.427297270776651,0.316654761631698,0.470577686908858,0.87370543685348,0.638419550603376,0.58520619132312
"Q9Y3B2",-1.65681093580639,-2.03580018001846,-1.73262039705202,-1.87513399211687,-1.88841574156452,-2.06806907698113,-1.39084847012243,-1.51637947697207,-1.5015958978752,-1.19192537216809,-1.3403387498007,-1.24451498988538,-1.16894563290274,-1.54615885058321,-1.50409925477051,-1.38262720336183,-1.52333436430131,-1.60541674533711,-1.85797073510578,-2.00784489996546,-2.00293186544531,-1.57680863115853,-1.49311543616113,-1.62940337551754,-1.39957111549178,-1.08436040756921,-1.35090542294707,-1.4047232457511,-1.75553170987556,-1.6077690357174,-1.27607391658156,-1.45653806207542,-1.50477884083628,-1.22323892067675,-1.3473618646924,-1.42200728838375,-2.7145052763701,-1.85576275924315,-2.3636314730661,-1.35240453257325,-1.78558340688746,-1.56612125222806,-2.4275844348305,-2.8386455836614,-1.14086022177883,-1.24927470668748,-2.512664044964,-2.3941079854501
"Q9Y3B3",-0.0391132195667368,0.228706514211318,0.309452374896718,-0.195184637438083,-0.232858054841794,-0.338129217239305,-0.0419832250200081,-0.0776154752505592,0.298367676758149,0.172607168628198,0.367896077557425,-0.0591730117698657,0.064047447355444,-0.0196569346992247,0.0143314880013191,-0.204456855644254,-0.252538876325496,-0.238257380043891,-0.152440117560097,0.0493041729368962,0.0453922619176066,-0.128093689617724,-0.155082034022091,-0.0597159343358745,0.133804404520499,0.673777655694937,0.29756155351511,0.259659201945896,0.425367221369508,0.420426024360307,0.214417833023186,0.542622316952076,0.38729305707239,0.475299972203364,0.470591878719994,0.446052059668851,0.59234915435394,0.587337177807337,0.368295149364007,-0.0850860877181602,0.235302853228632,0.0785513885115196,-0.371338958809591,-0.262743477886707,-0.358594883258547,-0.510916554401457,-0.188729276227832,-0.525190870751965
"Q9Y3B4",-1.06806937964946,-2.18139117502093,-3.66642624334477,-1.84298284309946,-2.30612289099739,-1.82587185601163,-1.29734614045125,-2.314624442147,-1.84932835837035,-1.05842154065229,-2.21325601517939,-2.10223488931077,-2.03530012083787,-2.40972540404899,-2.27100594833139,-2.61103026201998,-2.65321192643596,-2.73423463652787,-2.22927664053121,-3.22035327997071,-2.52646275558946,-2.3035754114263,-2.88065858543679,-2.43180813141447,-1.45262693966344,-1.66264377443419,-2.1569287090435,-2.8691202594813,-2.80577211712557,-2.3929337886362,-1.32348317939852,-2.13144451629946,-2.5890928037721,-1.02799409670856,-1.48148792225872,-1.98018005611215,-1.18229536962205,-2.7051976563059,-2.88577126027781,-1.16737733366917,-2.84788823725123,-2.68738357609535,-1.98670439140731,NA,NA,-2.03913936748957,-3.00723748413371,NA
"Q9Y3B7",-0.616215563501346,-0.577915682528029,-0.524988552282002,0.118774930381593,0.0067496546818637,-0.00253249904443876,-0.182914930692218,-0.0606179759629072,-0.103070719925635,-0.131114960070054,-0.298250523396378,-0.0902289080010886,-0.219825181222376,-0.354611605798956,-0.208217310183546,-0.16163021775382,-0.263257202485968,-0.26353685694027,0.143133552876798,0.0623088043752345,0.138151748819798,-0.182461179787836,-0.330306093617097,-0.331788326346069,-0.43174249715939,-0.568936779742051,-0.454851601682469,-0.342294228069756,-0.541269680147726,-0.456363383346334,-0.132012100703404,-0.070246292850598,-0.268469290917336,-0.395193118117887,-0.494844684885847,-0.542817921964387,-0.212739100214566,-0.325870522685532,-0.111821012139771,-0.445205036305577,-0.392843336531918,-0.314338044934133,0.00218941555399701,-0.337134678185866,0.0377346414224081,-0.451279603671224,-0.426068707371253,-0.399543144873695
"Q9Y3B8",-0.442301556628366,-1.02665787591507,-1.36279481730575,-0.425571474454486,-0.382232589872456,-0.321021952587065,-0.432267457025271,-0.244642986888132,-0.265091715119355,-0.0946413210151474,-0.229326372236382,-0.296179652709116,-0.82906195482707,-0.562351333373159,-0.69507839825373,-0.830521277453355,-0.570999547782124,-0.58699312985191,-0.533379962726197,-0.531894486342117,-0.478094451086585,-1.38085489973226,-1.30907329511387,-1.09314658870458,-0.82617327748775,-0.61879807279656,-0.698372586321645,-0.586555345313458,-0.499639024239067,-0.481911067809097,-0.283365221034549,-0.193063188963303,-0.210690891142235,-0.241749834872832,-0.372330703419775,-0.226999261325864,-0.273911265372006,-1.40016437716115,-0.792544228742463,-0.642293320176747,-0.409007369472714,-0.285296503503074,-1.09249113333138,-0.620757896343459,-1.46300166167855,-0.819378131263614,-0.95741844889016,-0.822390750198792
"Q9Y3B9",-1.44432802738926,-1.62327638406339,-1.36373868686287,-0.841806941521583,-0.587875237825312,-0.691537067226492,-0.504002237324868,-0.418622426548679,-0.229166234337929,-0.594868528513725,-0.315919871645884,-0.329535672282512,-0.416226771453736,-0.412937982198246,-0.47894474455721,-0.160725085266088,-0.160592830972088,-0.113558774605822,-0.812110624287866,-0.62517413695664,-0.600658973575952,-0.338644119322308,-0.504581350692635,-0.460075925760536,-0.891424562280162,-1.36567106105294,-0.982983737238426,-1.06408499778029,-0.953768697398174,-1.01141749008694,-0.853822823624894,-0.796647447538605,-0.930265452355825,-0.970016398544753,-1.01214814799981,-0.753774487593887,-1.70213759667968,-1.61350465784205,-1.44958568723469,-0.815161615774993,-0.786140616952456,-0.801768745049885,-0.541396741933494,-1.05417896070958,-0.667295941993635,-0.374903380990317,-0.690246661681972,-0.5383772507084
"Q9Y3C1",-0.987054499028866,-0.82014876471038,-0.983570532652137,-0.291941232391966,-0.278142398174783,-0.357130783383016,-0.387138352645463,-0.123585550442995,-0.101362263834629,-0.443171461935431,-0.413524364036146,-0.298370689885443,-0.539596528606087,-0.466525059500501,-0.501365837127368,-0.217012361974677,-0.0050876236831717,0.00245147296120881,-0.372662769599116,-0.220340540480465,-0.62668611455479,-0.188324856433117,-0.390969811297961,-0.149045933561193,-0.71176407839865,-0.813662413853695,-0.639675839345546,-0.725589518586565,-0.51662964986356,-0.604293147089383,-0.604279934131984,-0.423311755886399,-0.455690478149361,-0.732749981643455,-0.580950917029682,-0.476831464358323,-0.93381825183296,-0.869818681266322,-0.908748433217636,-0.494550384391999,-0.538936288544607,-0.383191203154306,-0.274053058252792,-0.589657909408123,-0.140588141435747,-0.355129178319906,-0.322513839485137,-0.438943545052515
