"","1_1","1_2","1_3","2_1","2_2","2_3","3_1","3_2","3_3","4_1","4_2","4_3","5_1","5_2","5_3","6_1","6_2","6_3","7_1","7_2","7_3","8_1","8_2","8_3","9_1","9_2","9_3","10_1","10_2","10_3","11_1","11_2","11_3","12_1","12_2","12_3","13_1","13_2","13_3"
"P11940",1.4041783195872,1.55149038794126,1.56381175675443,1.56002572154629,1.50198224839325,1.48102336441995,1.40105300776656,1.44105269943279,1.45613321543694,1.54017098502518,1.56499904324674,1.62977770784454,1.68778416744671,1.6772281469461,1.63300648608134,1.55342630085224,1.59510663994936,1.61594471657688,1.45257480922656,1.46785336683933,1.48648488676028,1.6361007991255,1.64236463818967,1.6767680426747,1.41280879869554,1.45444861142045,1.46680984580783,1.48467495793275,1.60786729177285,1.58565109023507,1.58011833728011,1.65997378224068,1.63958385708168,1.3679773996228,1.37204441984092,1.4129229424493,1.87233964283461,1.84528023775265,1.7649510059627
"P12004",1.61663621324914,1.77760121237382,1.63550480633453,2.00490290617849,1.87724495054932,1.87785017010502,1.84690493508365,1.70327916306111,1.8910877423005,1.95761011492556,1.93197038956474,2.10471437328627,1.81450814062598,1.89074460104645,1.84528800976931,2.18028458954026,2.1342836772536,2.05470991074847,1.7486602950083,1.89891971983257,1.81816041882902,2.10455337648363,1.92609755100722,2.10814848153558,1.80791410038647,1.8355962000568,1.73056701723295,2.04251662850154,2.12835066611346,2.10865554506135,2.02766985676693,2.06873750017309,2.036766723116,1.83874695116271,1.89309598951941,1.83476974588399,1.95433894354269,1.75077603392115,1.84312593342048
"P12109",-0.250036362174601,-0.818785428769452,-0.456425652406079,-1.26854479331942,-1.00389554146782,-1.42280175200082,-1.44931310230315,-1.10627545571309,-0.883840002785671,-0.928766999113559,-1.19561952930733,-1.69632977285345,-0.642062219035317,-0.883446711365558,-0.672943597530452,NA,-1.37234735724181,-1.20310041542007,-0.950592731704578,-1.00313973217573,-0.774457657800195,-1.44793122059396,-1.0536161505552,-0.848815779308708,NA,-1.76628222849671,-1.60716421597274,NA,-1.24282317136355,-1.7988313786119,-1.09383278521639,-1.21147378228011,-1.53997153430718,-0.581516795386104,-0.576399810563736,-0.717698080666803,-1.11935369617195,-1.05939329858658,-1.12122203916553
"P12235",-1.11964439755088,-1.18721244948816,-1.22694085508751,-0.645362401780744,-0.876849180391635,-0.975180199568991,-0.779129650070557,-0.787750681004255,-0.791385145405073,-0.887435836525249,-0.978033809604903,-0.694407616952562,-1.3161251115382,-1.33487126175141,-1.52832342376632,-1.10379429172573,-0.862997461874527,-0.963830409277775,-0.822560593419629,-0.765308916582383,-1.03830501149498,-0.94452272208304,-0.993181336571432,-0.878704656636516,-0.878859858603555,-0.978142548190803,-0.763565451613887,-0.859777456309687,-0.821501001743752,-0.88248479703257,-0.986091610956094,-0.788019649534512,-1.04466895586682,-1.05261516663494,-0.892991731977586,-1.13166408003069,-1.68976087730585,-1.91358006137996,-1.41116550145547
"P12236",0.160329545317019,0.133447391281571,0.178187228945131,0.483718159024799,0.370420389515674,0.414701417229952,0.244050105688774,0.256214393641844,0.150056530288926,0.324349534874615,0.462023276360305,0.387728652263814,0.286418203781091,0.328143267954396,0.204247090435893,0.430168754156752,0.419924489216367,0.382639054435982,-0.023016128062543,0.108162430325647,0.0595340358206162,0.248231857181434,0.369619989232025,0.603057366351393,0.409162170166905,0.252187273949581,0.304067741555797,0.121157557058423,0.0822364428242637,0.026439441383639,0.615158487326599,0.339255356789534,0.447183802703446,0.181276721004759,0.156622338421002,0.256109716862704,0.0300908178867249,-0.293665360734492,-0.40798767887187
"P12268",1.26592598930225,1.1314678859748,1.27030657922739,1.38547836232212,1.36680701848461,1.38990438140668,1.08487429113988,1.10421935143012,1.10810166612728,1.45487371856007,1.48136216977905,1.50479511331147,1.40832370338667,1.33690270437158,1.36443152362148,1.37354445549548,1.37654022431652,1.37366104500075,1.14346659052057,1.17487636607701,1.15034844434006,1.40188470501312,1.39924479531925,1.43090261630737,1.11498476899999,1.05893876119943,1.11003959481105,1.26371075140843,1.338191787527,1.35388325016982,1.43761502905802,1.40378195847315,1.46195324517116,1.30479261657998,1.27316744541177,1.28570986897081,1.40810722456123,1.41360873369766,1.36428822003367
"P12270",-0.882848296982079,-0.736453465495225,-0.874770562711526,-0.812307064368751,-0.809270874264428,-0.786661471183306,-0.918202267412492,-0.95044584775853,-0.836668468080169,-0.823160788712073,-0.764203829967894,-0.835099924522834,-0.732566765432871,-0.738133744674493,-0.753125142241831,-0.780823311525444,-0.783237980368842,-0.756900424049792,-0.78002613344131,-0.809283796153866,-0.812296635621548,-0.791329208656687,-0.791624910066587,-0.78685795066898,-0.840753608721096,-0.909141300403201,-0.845071290935269,-0.725067475907059,-0.770916396299479,-0.778744229539995,-0.761590062461275,-0.720249852945145,-0.68798718856566,-0.871470541141116,-0.804369912259915,-0.828680874201182,-0.718966069072472,-0.661687879340937,-0.765767105844318
"P12277",0.419415134445387,0.46358060503461,0.522151567693622,0.460949863266964,0.38314028058414,0.499995408674225,0.125288544317157,0.110536266700147,0.118039197372445,0.261132359097604,0.228618893368624,0.2312222068115,-0.21312391106127,-0.16252970065184,-0.118059972356692,0.0979111224982561,0.211230052001893,0.0353357674602466,-0.197415423838249,-0.175247305163275,-0.0526432332153613,-0.362552504977243,-0.169636476414527,-0.203876289756243,-0.268844176609976,-0.263956276790581,-0.129266523695394,-0.201189943964531,-0.144725620809599,-0.288615184703634,0.113173073791215,0.121858353514457,0.186298668676989,0.0988220331147273,0.124787493652514,0.103562073748224,-0.181835029343173,-0.0656143186345216,-0.122104960781625
"P12429",1.39410677812726,1.24014393385133,1.26615813288949,1.32148517434423,1.21539718256046,1.29144177025581,1.07272437493096,1.11113161812859,1.20320034008295,1.1023308617213,1.10693282786298,1.12015259758434,1.06935993658769,1.03367475407818,0.98932734474004,1.20714757954281,1.21200714632843,1.23103972775303,1.23172599917266,1.1377193693492,1.26225623581149,1.10115222350398,1.09461854594953,1.17145567478349,0.807574383403439,0.925075598000442,0.838428266897416,1.02648694903906,1.15951855912161,1.01595299261407,0.982729447824471,1.09418290445413,1.1410009646239,1.12986801230254,1.11132902385812,1.22357832296287,0.747897024622585,0.810487971478545,0.82841229568493
"P12532",-0.82566271324762,-0.713158098107001,-0.68074122576048,-0.6925495027855,-0.708601574032938,-0.590628737617749,-0.497827170975691,-0.50233877023269,-0.461563043140298,-1.27454103616441,-1.34925079210294,-1.37389613483823,-0.723116743770742,-0.70866912098304,-0.562391315798004,-1.40574855270235,-1.38857946479839,-1.40953678674102,-0.711140811868895,-0.893067212715916,-0.825693878370077,-1.52333730234579,-1.60380814588917,-1.51486221203709,-0.87661141851809,-1.13978241572471,-1.38347864335656,-1.38655089201769,-1.38999071856305,-1.12727666391,-0.87466166659877,-0.913860615672092,-0.876542435490428,-0.690385961743046,-0.583140391842201,-0.661659659178738,-2.42634991124865,-2.51373349666771,-2.32649675972893
"P12694",-1.12651559930895,-0.911300251017736,-0.843468419566505,-1.02305096505035,-0.851349434388096,-0.905606886554619,-1.25790554013892,-0.957351758129981,-0.96127336717586,-1.70604255780025,-1.50000093712192,-1.54630560799177,-1.00087172427789,-1.10405396608229,-1.11699987381576,-1.38602836178072,-1.35602352884858,-1.26613225607561,-0.929786092255228,-0.976786897388783,-1.01261653396577,-1.24623736922781,-1.11764909467314,-1.0664534425132,-1.26782281193013,-1.19711209130945,-1.34559317305066,-1.54243696748245,-1.37445876213384,-1.37508854761024,-1.51721717181495,-1.2580700416491,-1.09214503165345,-0.866291310627877,-0.901906451689031,-0.852210291549316,-1.47313224987448,-1.34521378154961,-1.29760902745079
